date,area,average_price,code,houses_sold,no_of_crimes,borough_flag
2018/5/1,city of london,796399,E09000001,19,,1
2018/6/1,city of london,789278,E09000001,87,,1
2018/7/1,city of london,809697,E09000001,32,,1
2018/8/1,city of london,784144,E09000001,22,,1
2018/9/1,city of london,800875,E09000001,40,,1
2018/10/1,city of london,802869,E09000001,30,,1
2018/11/1,city of london,764207,E09000001,31,,1
2018/12/1,city of london,811694,E09000001,37,,1
2019/1/1,city of london,865636,E09000001,10,,1
2019/2/1,city of london,894680,E09000001,10,,1
2019/3/1,city of london,853616,E09000001,14,,1
2019/4/1,city of london,738842,E09000001,20,,1
2019/5/1,city of london,718773,E09000001,7,,1
2019/6/1,city of london,743157,E09000001,16,,1
2019/7/1,city of london,719871,E09000001,13,,1
2019/8/1,city of london,777613,E09000001,17,,1
2019/9/1,city of london,792034,E09000001,11,,1
2019/10/1,city of london,827093,E09000001,4,,1
2019/11/1,city of london,777610,E09000001,5,,1
2019/12/1,city of london,734872,E09000001,,,1
2020/1/1,city of london,775309,E09000001,,,1
